id,linkrun,objid
27b174f5-a717-4c52-99d9-fefcc127c179,wsdiff_S82_lon_gt_minus2,2681562
27b174f5-a717-4c52-99d9-fefcc127c179,wsdiff_S82_lon_gt_minus2,3800813
8a4729d8-3d64-470b-bd7f-0b0d9b3b3e93,wsdiff_S82_lon_gt_minus2,3104895
8a4729d8-3d64-470b-bd7f-0b0d9b3b3e93,wsdiff_S82_lon_gt_minus2,3116660
8a4729d8-3d64-470b-bd7f-0b0d9b3b3e93,wsdiff_S82_lon_gt_minus2,2063988
8a4729d8-3d64-470b-bd7f-0b0d9b3b3e93,wsdiff_S82_lon_gt_minus2,3805906
8a4729d8-3d64-470b-bd7f-0b0d9b3b3e93,wsdiff_S82_lon_gt_minus2,3777978
8a4729d8-3d64-470b-bd7f-0b0d9b3b3e93,wsdiff_S82_lon_gt_minus2,3649963
e9dc7347-efe9-4672-a2a7-c5b4e6cceda8,wsdiff_S82_lon_gt_minus2,2404489
e9dc7347-efe9-4672-a2a7-c5b4e6cceda8,wsdiff_S82_lon_gt_minus2,2473062
e9dc7347-efe9-4672-a2a7-c5b4e6cceda8,wsdiff_S82_lon_gt_minus2,3720131
e9dc7347-efe9-4672-a2a7-c5b4e6cceda8,wsdiff_S82_lon_gt_minus2,3780397
60d82102-4a93-44bc-bd5e-3d55b2b2be81,wsdiff_S82_lon_gt_minus2,3238082
60d82102-4a93-44bc-bd5e-3d55b2b2be81,wsdiff_S82_lon_gt_minus2,3447801
60d82102-4a93-44bc-bd5e-3d55b2b2be81,wsdiff_S82_lon_gt_minus2,1691561
60d82102-4a93-44bc-bd5e-3d55b2b2be81,wsdiff_S82_lon_gt_minus2,3594692
60d82102-4a93-44bc-bd5e-3d55b2b2be81,wsdiff_S82_lon_gt_minus2,2606705
60d82102-4a93-44bc-bd5e-3d55b2b2be81,wsdiff_S82_lon_gt_minus2,3793034
60d82102-4a93-44bc-bd5e-3d55b2b2be81,wsdiff_S82_lon_gt_minus2,3791275
71a9d8a6-a029-415c-beee-756e1cd843df,wsdiff_S82_lon_gt_minus2,3104908
71a9d8a6-a029-415c-beee-756e1cd843df,wsdiff_S82_lon_gt_minus2,3116673
71a9d8a6-a029-415c-beee-756e1cd843df,wsdiff_S82_lon_gt_minus2,2079068
71a9d8a6-a029-415c-beee-756e1cd843df,wsdiff_S82_lon_gt_minus2,3810586
4c2b0ea6-675c-4c05-875d-56e9ea0f3d99,wsdiff_S82_lon_gt_minus2,3238742
4c2b0ea6-675c-4c05-875d-56e9ea0f3d99,wsdiff_S82_lon_gt_minus2,3451910
4c2b0ea6-675c-4c05-875d-56e9ea0f3d99,wsdiff_S82_lon_gt_minus2,2465988
4c2b0ea6-675c-4c05-875d-56e9ea0f3d99,wsdiff_S82_lon_gt_minus2,2409154
4c2b0ea6-675c-4c05-875d-56e9ea0f3d99,wsdiff_S82_lon_gt_minus2,3593892
4c2b0ea6-675c-4c05-875d-56e9ea0f3d99,wsdiff_S82_lon_gt_minus2,2606860
4c2b0ea6-675c-4c05-875d-56e9ea0f3d99,wsdiff_S82_lon_gt_minus2,3794533
4c2b0ea6-675c-4c05-875d-56e9ea0f3d99,wsdiff_S82_lon_gt_minus2,3791608
c81b7c63-4704-47c2-84b8-c7025d8afc3a,wsdiff_S82_lon_gt_minus2,3453070
c81b7c63-4704-47c2-84b8-c7025d8afc3a,wsdiff_S82_lon_gt_minus2,2470602
c81b7c63-4704-47c2-84b8-c7025d8afc3a,wsdiff_S82_lon_gt_minus2,2410291
c81b7c63-4704-47c2-84b8-c7025d8afc3a,wsdiff_S82_lon_gt_minus2,3595656
c81b7c63-4704-47c2-84b8-c7025d8afc3a,wsdiff_S82_lon_gt_minus2,3797400
ce198e98-70d5-407c-9107-5c0feecea692,wsdiff_S82_lon_gt_minus2,3263423
ce198e98-70d5-407c-9107-5c0feecea692,wsdiff_S82_lon_gt_minus2,2520798
ce198e98-70d5-407c-9107-5c0feecea692,wsdiff_S82_lon_gt_minus2,2062179
ce198e98-70d5-407c-9107-5c0feecea692,wsdiff_S82_lon_gt_minus2,2664898
ce198e98-70d5-407c-9107-5c0feecea692,wsdiff_S82_lon_gt_minus2,3681295
ce198e98-70d5-407c-9107-5c0feecea692,wsdiff_S82_lon_gt_minus2,3810328
af64412a-ee6c-4121-923f-cefa78b65617,wsdiff_S82_lon_gt_minus2,2404504
af64412a-ee6c-4121-923f-cefa78b65617,wsdiff_S82_lon_gt_minus2,2473161
af64412a-ee6c-4121-923f-cefa78b65617,wsdiff_S82_lon_gt_minus2,3245487
af64412a-ee6c-4121-923f-cefa78b65617,wsdiff_S82_lon_gt_minus2,3720205
af64412a-ee6c-4121-923f-cefa78b65617,wsdiff_S82_lon_gt_minus2,3790419
af64412a-ee6c-4121-923f-cefa78b65617,wsdiff_S82_lon_gt_minus2,3780402
6aeaf41d-931b-4ff5-9b1d-a88366dab038,wsdiff_S82_lon_gt_minus2,3322735
6aeaf41d-931b-4ff5-9b1d-a88366dab038,wsdiff_S82_lon_gt_minus2,1598908
6aeaf41d-931b-4ff5-9b1d-a88366dab038,wsdiff_S82_lon_gt_minus2,3525316
6aeaf41d-931b-4ff5-9b1d-a88366dab038,wsdiff_S82_lon_gt_minus2,3537383
6aeaf41d-931b-4ff5-9b1d-a88366dab038,wsdiff_S82_lon_gt_minus2,3784036
6aeaf41d-931b-4ff5-9b1d-a88366dab038,wsdiff_S82_lon_gt_minus2,3829622
0fe38994-23cb-4121-aa2c-3f72ab17fbf9,wsdiff_S82_lon_gt_minus2,3102918
0fe38994-23cb-4121-aa2c-3f72ab17fbf9,wsdiff_S82_lon_gt_minus2,3115162
0fe38994-23cb-4121-aa2c-3f72ab17fbf9,wsdiff_S82_lon_gt_minus2,3350985
0fe38994-23cb-4121-aa2c-3f72ab17fbf9,wsdiff_S82_lon_gt_minus2,3763850
