,objid,id,ra,dec,mag,designation,mpcRA,mpcDec,v,offsetRA,offsetDec,motion_ra,motion_dec,orbit,comment,distance
68,3103183,174ba6f8-84e4-4271-8e0e-b32e6ee2615d,0:03:42.57,1:46:48.4,22.6224994659,(254554) 2005 EB264      ,00 03 27.0 ,+01 44 27  ,19.6   ,3.9W   ,2.4S    ,35-    ,21-  ,  8o  ,None needed at this time.,0.00132317796133
69,3117008,174ba6f8-84e4-4271-8e0e-b32e6ee2615d,0:03:42.55,1:46:48.4,22.3833007812,(254554) 2005 EB264      ,00 03 27.0 ,+01 44 27  ,19.6   ,3.9W   ,2.4S    ,35-    ,21-  ,  8o  ,None needed at this time.,0.00132193474255
70,3801694,174ba6f8-84e4-4271-8e0e-b32e6ee2615d,0:02:13.98,1:36:59.3,23.0434989929,-------------------------,-----------,-----------,-------,-------,--------,-------,-----,------,--------------------------------------,0.0
71,3127761,1a0629ab-913d-4fea-8c0e-1a029abc64ee,0:15:21.14,2:21:29.9,22.6289997101,         2005 EZ164      ,00 15 15.7 ,+02 21 15  ,21.6   ,1.4W   ,0.2S    ,34-    , 0-  ,  3o  ,"Desirable between 2016 Mar. 10-Apr. 9.  (143.5,+36.6,21.1)",0.000401820044104
72,3127761,1a0629ab-913d-4fea-8c0e-1a029abc64ee,0:15:21.14,2:21:29.9,22.6289997101,         2014 WX381      ,00 15 35.0 ,+02 20 09  ,20.4   ,3.5E   ,1.3S    ,33-    , 5-  ,  5o  ,"Desirable between 2016 Feb. 25-Mar. 26.  (121.6,-16.5,21.3)",0.00108076192449
73,3191209,1a0629ab-913d-4fea-8c0e-1a029abc64ee,0:15:21.12,2:21:29.8,21.7947006226,         2005 EZ164      ,00 15 15.6 ,+02 21 15  ,21.6   ,1.4W   ,0.2S    ,34-    , 0-  ,  3o  ,"Desirable between 2016 Mar. 10-Apr. 9.  (143.5,+36.6,21.1)",0.000407453874154
74,3191209,1a0629ab-913d-4fea-8c0e-1a029abc64ee,0:15:21.12,2:21:29.8,21.7947006226,         2014 WX381      ,00 15 35.0 ,+02 20 09  ,20.4   ,3.5E   ,1.3S    ,33-    , 5-  ,  5o  ,"Desirable between 2016 Feb. 25-Mar. 26.  (121.6,-16.5,21.3)",0.00108194058452
75,2493013,1a0629ab-913d-4fea-8c0e-1a029abc64ee,0:14:18.10,2:14:52.8,21.7835998535,(328344) 2008 KP7        ,00 14 20.2 ,+02 18 55  ,21.3   ,0.5E   ,4.0N    ,26-    ,13-  ,  5o  ,None needed at this time.,0.00118409245542
76,2493013,1a0629ab-913d-4fea-8c0e-1a029abc64ee,0:14:18.10,2:14:52.8,21.7835998535,         2015 GJ1        ,00 14 21.6 ,+02 10 35  ,19.8   ,0.9E   ,4.3S    ,34-    , 2+  ,   o  ,Leave for survey recovery.,0.0012754653063
77,2022113,1a0629ab-913d-4fea-8c0e-1a029abc64ee,0:14:18.08,2:14:52.5,21.7406997681,(328344) 2008 KP7        ,00 14 20.0 ,+02 18 53  ,21.3   ,0.5E   ,4.0N    ,26-    ,13-  ,  5o  ,None needed at this time.,0.00117429415396
78,2022113,1a0629ab-913d-4fea-8c0e-1a029abc64ee,0:14:18.08,2:14:52.5,21.7406997681,         2015 GJ1        ,00 14 21.4 ,+02 10 35  ,19.8   ,0.8E   ,4.3S    ,34-    , 2+  ,   o  ,Leave for survey recovery.,0.00127149349837
